player,team,minutesPlayed,similarity_score,totalDuelsWonPercentage,aerialDuelsWonPercentage,groundDuelsWonPercentage,accuratePassesPercentage,accuratePasses_p90,accurateLongBallsPercentage,accurateLongBalls_p90,accurateFinalThirdPasses_p90,keyPasses_p90,interceptions_p90,tackles_p90,clearances_p90,dribbledPast_p90,cards_p90
Erick Noriega,Alianza Lima,1737,100.00,66.45,73.13,61.36,87.06,36.94,54.17,3.37,5.28,0.47,1.09,1.40,4.72,0.31,0.10
Matías Di Benedetto,Universitario,1647,86.85,68.07,77.19,59.68,84.06,30.55,42.86,2.62,4.70,0.27,1.53,1.69,4.59,0.38,0.27
Williams Riveros,Universitario,1699,86.39,70.49,68.66,72.73,88.20,29.29,61.86,3.18,2.01,0.16,1.17,1.22,7.05,0.37,0.05
Renzo Garcés,Alianza Lima,1592,83.93,64.18,64.86,63.33,91.13,35.45,64.38,2.66,3.45,0.23,0.90,1.07,5.99,0.28,0.23
Leonel Galeano,Cienciano,988,83.74,62.16,62.86,61.54,86.45,31.97,69.15,5.92,2.64,0.18,1.28,1.82,4.37,0.46,0.09
Carlos Zambrano,Alianza Lima,1024,82.40,70.27,72.73,69.23,81.55,29.53,44.44,3.16,3.52,0.26,0.70,1.14,5.62,0.09,0.18
Jose Bolivar,Club Atlético Grau,1387,82.27,59.56,59.68,59.46,84.60,37.44,51.61,3.11,5.19,0.84,1.56,1.49,3.89,0.45,0.06
Aldair Fuentes,Cusco FC,1957,81.33,66.45,75.68,57.69,91.53,52.70,37.65,1.47,1.61,0.28,1.10,1.10,6.02,0.41,0.28
Rafael Lutiger,Club Sporting Cristal,1448,79.54,58.68,60.56,56.00,86.31,46.62,51.16,4.10,5.10,0.19,0.93,1.12,6.59,0.12,0.19
Rodrigo Tapia,Club Atlético Grau,2059,79.00,59.09,57.89,60.49,88.23,45.55,51.92,3.54,2.49,0.17,1.14,1.92,5.94,0.48,0.13
Marco Saravia,Cusco FC,1344,78.80,67.05,71.11,62.79,88.14,48.28,36.84,2.34,2.08,0.07,0.33,1.27,5.29,0.20,0.27
Leonel González,Melgar,1875,78.62,62.80,64.29,61.70,80.17,36.10,47.80,4.70,4.66,0.34,1.58,1.49,4.75,0.62,0.38
Danilo Ortiz,Cienciano,900,77.21,60.49,61.70,58.82,81.00,30.70,58.10,6.10,4.10,0.50,1.00,1.20,5.50,0.20,0.30
Hansell Riojas,Sport Boys,1050,76.33,64.42,68.89,61.02,79.33,32.57,40.00,2.91,4.54,0.17,1.29,2.06,6.94,0.69,0.26
Martín Távara,Club Sporting Cristal,1361,75.48,60.94,57.14,62.37,82.47,42.92,60.00,5.95,12.17,1.59,1.06,1.65,2.31,0.66,0.40
Maximiliano Amondarain,Cienciano,1308,75.48,60.53,64.38,53.66,85.91,29.79,53.95,2.82,1.65,0.21,1.03,1.17,7.22,0.21,0.28
Manuel Ganoza,Ayacucho,1464,75.25,63.03,66.67,60.00,87.30,26.19,48.15,1.60,1.29,0.06,1.41,2.03,6.09,0.25,0.68
Jonathan Bilbao,Ayacucho,1337,74.79,61.42,66.67,57.53,78.59,24.70,44.04,3.23,3.16,0.34,1.14,1.75,5.25,0.27,0.20
Jimmy Valoyes,Cienciano,1425,74.35,59.35,60.94,57.63,78.08,36.00,50.28,5.75,5.68,0.69,0.95,1.14,4.86,0.19,0.38
Alvaro Ampuero,Cusco FC,1937,73.32,57.30,53.13,59.65,92.33,50.37,53.61,2.42,4.04,0.37,0.88,1.30,3.76,0.46,0.23
Gu-rum Choi,Asociación Deportiva Tarma,1621,73.23,54.96,55.93,54.17,87.90,37.92,57.69,3.33,3.33,0.33,0.61,1.50,4.00,0.44,0.17
Jhon Ibargüen,Alianza Universidad,1373,73.15,61.43,66.67,57.50,89.40,29.30,34.00,1.11,0.92,0.07,1.25,1.44,4.72,0.20,0.20
Ayrthon Quintana,Los Chankas CYC,1675,72.95,61.24,66.67,60.14,79.00,24.66,46.94,2.47,6.18,1.13,1.24,2.31,2.47,0.91,0.27
Daniel Franco,Club Atlético Grau,1589,72.49,62.39,57.69,66.67,78.22,39.87,43.36,6.29,5.38,0.23,1.36,1.02,5.66,0.28,0.17
Erick Gonzales,Sport Boys,1120,70.86,58.68,68.57,54.65,83.22,30.29,44.44,1.61,2.97,0.16,1.37,2.49,2.81,0.64,0.56
Leonardo Mifflin,Deportivo Binacional,1356,69.82,56.73,57.58,56.34,84.56,31.26,46.07,2.72,3.65,0.20,1.46,1.73,3.12,0.53,0.27
Luis Alvarez,Universidad Técnica de Cajamarca,1580,69.53,57.14,54.55,58.41,83.92,32.70,51.14,2.56,5.24,0.51,1.42,2.11,2.91,0.91,0.23
Benjamín Ampuero,Alianza Universidad,1117,67.84,54.84,60.00,53.19,87.11,25.06,47.54,2.34,1.37,0.32,0.89,1.69,5.08,0.64,0.16
José Villegas,Alianza Atlético de Sullana,2055,67.55,59.77,59.60,60.00,78.66,24.70,47.89,2.98,3.20,0.31,0.88,1.53,7.36,0.13,0.22
Jean Franco Falconi,Ayacucho,1524,67.00,68.22,57.14,72.15,72.11,24.27,45.65,3.72,6.61,0.71,1.06,2.24,4.96,0.12,0.12
Ricardo Salcedo,Sport Huancayo,2091,64.92,55.36,56.82,55.00,86.35,25.05,52.50,1.81,3.19,0.22,1.55,2.50,2.58,0.95,0.26
Pier Barrios,Melgar,1564,64.09,57.75,58.11,57.35,81.76,31.48,51.33,4.43,3.51,0.23,0.23,1.04,5.01,0.40,0.46
Matias Almiron,Sport Boys,1710,62.40,59.06,61.64,55.56,80.96,31.11,39.23,2.68,3.26,0.26,0.84,0.58,5.79,0.58,0.37
Fernando Bersano,Asociación Deportiva Tarma,1600,62.27,53.89,54.29,53.79,78.30,26.38,58.26,3.77,7.82,0.56,0.79,2.19,2.25,0.68,0.22
Renzo Alfani,ADC Juan Pablo II,2160,60.66,62.72,58.88,69.35,73.59,25.08,39.91,3.54,2.21,0.21,1.29,1.17,7.46,0.38,0.21
Matías Lazo,Melgar,1701,60.06,50.30,50.00,50.43,80.47,30.95,46.25,1.96,8.47,1.06,1.43,1.48,2.28,0.42,0.11
Otávio Gut,Alianza Universidad,1772,59.86,50.98,50.77,51.14,86.36,36.01,44.44,1.63,3.00,0.61,0.76,1.47,4.52,0.81,0.10
Carlos Beltran,Deportivo Garcilaso,1938,59.67,62.10,66.14,56.52,72.73,16.72,43.30,1.95,2.55,0.23,1.21,1.30,4.60,0.51,0.46
Rodrigo Colombo,Sport Boys,1874,58.37,56.21,55.10,57.75,78.46,29.92,35.47,2.93,2.16,0.10,1.34,1.06,6.92,0.24,0.24
Horacio Benincasa,Alianza Atlético de Sullana,2039,57.26,55.86,55.21,57.14,78.79,22.95,39.13,1.99,3.88,0.31,0.79,0.71,5.12,0.35,0.04
Miguel Trauco,Alianza Lima,1319,56.84,51.28,50.00,52.11,78.01,38.48,42.74,3.41,9.08,0.82,0.68,1.64,3.62,0.82,0.14
Iván Santillán,ADC Juan Pablo II,1105,56.15,54.22,50.00,54.55,80.18,29.65,40.00,2.61,4.97,0.65,1.14,2.44,2.85,1.06,0.08
Arón Sánchez,ADC Juan Pablo II,1873,56.11,63.08,51.95,79.25,81.04,26.28,36.75,2.07,1.15,0.00,0.86,1.30,7.11,0.10,0.00
Hugo Ángeles,Sport Huancayo,1883,55.85,52.35,53.66,51.94,79.45,23.47,47.83,2.10,6.02,1.05,1.63,2.20,3.58,0.86,0.53
Yonatan Murillo,Sport Huancayo,1584,55.69,57.34,58.97,55.38,75.45,21.48,37.59,2.84,2.05,0.06,1.36,1.53,6.48,0.51,0.28
Hector González,Los Chankas CYC,1890,54.64,55.84,50.00,63.24,75.37,26.67,39.62,4.00,2.76,0.33,1.67,1.29,6.95,0.48,0.33
Sebastian Aranda,Sport Boys,1100,54.12,62.69,50.00,65.18,80.81,17.92,46.15,0.98,3.03,0.82,1.06,2.05,3.27,0.74,0.33
Cristian Carbajal,Sport Boys,1698,52.02,54.19,52.78,54.62,77.57,22.37,43.68,2.01,4.19,0.85,0.69,1.91,2.44,0.80,0.16
